time,open,high,low,close,tick_volume,spread,real_volume,ep_high,ep_low
2022.02.03 20:52:00,1.36036,1.36037,1.36025,1.36034,59,8,0.00000,0.00000,0.00000
2022.02.03 20:51:00,1.36038,1.36049,1.36036,1.36037,74,8,0.00000,0.00000,0.00000
2022.02.03 20:50:00,1.36027,1.36040,1.36026,1.36039,39,8,0.00000,0.00000,0.00000
2022.02.03 20:49:00,1.36024,1.36030,1.36023,1.36027,77,8,0.00000,0.00000,0.00000
2022.02.03 20:48:00,1.36034,1.36041,1.36024,1.36024,54,9,0.00000,0.00000,1.36024
2022.02.03 20:47:00,1.36049,1.36051,1.36032,1.36034,70,9,0.00000,0.00000,0.00000
2022.02.03 20:46:00,1.36035,1.36052,1.36035,1.36050,73,8,0.00000,1.36050,1.36035
2022.02.03 20:45:00,1.36037,1.36042,1.36022,1.36036,65,8,0.00000,0.00000,0.00000
2022.02.03 20:44:00,1.36040,1.36040,1.36035,1.36037,38,10,0.00000,0.00000,0.00000
2022.02.03 20:43:00,1.36046,1.36053,1.36039,1.36040,47,8,0.00000,0.00000,0.00000
2022.02.03 20:42:00,1.36055,1.36061,1.36047,1.36047,47,8,0.00000,0.00000,0.00000
2022.02.03 20:41:00,1.36061,1.36069,1.36055,1.36056,35,9,0.00000,0.00000,0.00000
2022.02.03 20:40:00,1.36065,1.36067,1.36047,1.36061,60,8,0.00000,1.36065,0.00000
2022.02.03 20:39:00,1.36049,1.36065,1.36047,1.36064,30,9,0.00000,0.00000,0.00000
2022.02.03 20:38:00,1.36048,1.36051,1.36037,1.36049,63,8,0.00000,0.00000,0.00000
2022.02.03 20:37:00,1.36037,1.36051,1.36037,1.36047,72,8,0.00000,0.00000,1.36037
2022.02.03 20:36:00,1.36050,1.36050,1.36036,1.36039,53,8,0.00000,0.00000,0.00000
2022.02.03 20:35:00,1.36056,1.36057,1.36047,1.36049,55,8,0.00000,0.00000,0.00000
2022.02.03 20:34:00,1.36047,1.36061,1.36046,1.36056,78,8,0.00000,1.36056,0.00000
2022.02.03 20:33:00,1.36039,1.36050,1.36037,1.36048,68,8,0.00000,0.00000,0.00000
2022.02.03 20:32:00,1.36044,1.36046,1.36035,1.36038,52,8,0.00000,0.00000,0.00000
2022.02.03 20:31:00,1.36028,1.36050,1.36028,1.36047,60,8,0.00000,0.00000,0.00000
2022.02.03 20:30:00,1.36005,1.36028,1.36004,1.36028,95,8,0.00000,0.00000,0.00000
2022.02.03 20:29:00,1.35996,1.36006,1.35991,1.36006,54,8,0.00000,0.00000,0.00000
2022.02.03 20:28:00,1.36006,1.36013,1.35991,1.35996,48,8,0.00000,0.00000,1.35996
2022.02.03 20:27:00,1.36024,1.36025,1.36000,1.36005,39,8,0.00000,0.00000,0.00000
2022.02.03 20:26:00,1.36021,1.36026,1.36015,1.36025,44,8,0.00000,0.00000,0.00000
2022.02.03 20:25:00,1.36028,1.36039,1.36019,1.36021,67,8,0.00000,0.00000,0.00000
2022.02.03 20:24:00,1.36027,1.36037,1.36026,1.36028,68,8,0.00000,0.00000,0.00000
2022.02.03 20:23:00,1.36029,1.36029,1.36013,1.36028,72,9,0.00000,0.00000,0.00000
2022.02.03 20:22:00,1.36029,1.36031,1.36026,1.36030,63,9,0.00000,0.00000,0.00000
2022.02.03 20:21:00,1.36041,1.36041,1.36029,1.36029,59,8,0.00000,0.00000,0.00000
2022.02.03 20:20:00,1.36041,1.36043,1.36026,1.36040,87,8,0.00000,0.00000,0.00000
2022.02.03 20:19:00,1.36033,1.36049,1.36033,1.36041,48,8,0.00000,1.36041,0.00000
2022.02.03 20:18:00,1.36037,1.36038,1.36027,1.36033,43,8,0.00000,0.00000,0.00000
2022.02.03 20:17:00,1.36034,1.36043,1.36029,1.36036,64,8,0.00000,0.00000,0.00000
2022.02.03 20:16:00,1.36037,1.36047,1.36026,1.36035,93,8,0.00000,0.00000,0.00000
2022.02.03 20:15:00,1.36040,1.36050,1.36036,1.36036,76,8,0.00000,0.00000,0.00000
2022.02.03 20:14:00,1.36025,1.36041,1.36024,1.36040,77,8,0.00000,0.00000,0.00000
2022.02.03 20:13:00,1.36027,1.36039,1.36018,1.36026,73,8,0.00000,0.00000,0.00000
2022.02.03 20:12:00,1.36025,1.36031,1.36019,1.36027,47,8,0.00000,0.00000,0.00000
2022.02.03 20:11:00,1.36021,1.36031,1.36017,1.36025,48,8,0.00000,0.00000,0.00000
2022.02.03 20:10:00,1.36028,1.36028,1.36007,1.36020,65,8,0.00000,0.00000,1.36020
2022.02.03 20:09:00,1.36048,1.36053,1.36029,1.36029,80,8,0.00000,0.00000,0.00000
2022.02.03 20:08:00,1.36051,1.36064,1.36047,1.36048,62,8,0.00000,0.00000,0.00000
2022.02.03 20:07:00,1.36060,1.36060,1.36043,1.36051,85,8,0.00000,0.00000,0.00000
2022.02.03 20:06:00,1.36056,1.36066,1.36047,1.36062,93,8,0.00000,1.36062,0.00000
2022.02.03 20:05:00,1.36036,1.36060,1.36036,1.36056,73,8,0.00000,0.00000,0.00000
2022.02.03 20:04:00,1.36047,1.36059,1.36033,1.36035,98,8,0.00000,0.00000,1.36035
2022.02.03 20:03:00,1.36060,1.36068,1.36045,1.36047,73,9,0.00000,0.00000,0.00000
2022.02.03 20:02:00,1.36076,1.36085,1.36057,1.36061,64,8,0.00000,0.00000,0.00000
2022.02.03 20:01:00,1.36054,1.36076,1.36053,1.36076,71,8,0.00000,1.36076,0.00000
2022.02.03 20:00:00,1.36073,1.36073,1.36053,1.36053,86,9,0.00000,0.00000,1.36053
2022.02.03 19:59:00,1.36056,1.36087,1.36055,1.36074,74,8,0.00000,1.36074,0.00000
2022.02.03 19:58:00,1.36047,1.36058,1.36037,1.36056,44,8,0.00000,0.00000,0.00000
2022.02.03 19:57:00,1.36055,1.36055,1.36042,1.36047,48,8,0.00000,0.00000,0.00000
2022.02.03 19:56:00,1.36037,1.36057,1.36037,1.36055,53,8,0.00000,0.00000,0.00000
2022.02.03 19:55:00,1.36047,1.36054,1.36037,1.36037,30,8,0.00000,0.00000,1.36037
2022.02.03 19:54:00,1.36024,1.36048,1.36010,1.36048,57,8,0.00000,1.36048,0.00000
2022.02.03 19:53:00,1.35999,1.36025,1.35997,1.36025,84,8,0.00000,0.00000,0.00000
2022.02.03 19:52:00,1.36010,1.36010,1.35997,1.35998,64,9,0.00000,0.00000,1.35998
2022.02.03 19:51:00,1.36015,1.36015,1.36000,1.36010,34,9,0.00000,0.00000,0.00000
2022.02.03 19:50:00,1.36017,1.36021,1.36003,1.36015,61,8,0.00000,0.00000,0.00000
2022.02.03 19:49:00,1.35995,1.36018,1.35994,1.36017,69,9,0.00000,1.36017,0.00000
2022.02.03 19:48:00,1.36004,1.36011,1.35993,1.35994,63,8,0.00000,0.00000,1.35994
2022.02.03 19:47:00,1.36014,1.36015,1.36003,1.36004,73,8,0.00000,0.00000,0.00000
2022.02.03 19:46:00,1.36012,1.36029,1.36006,1.36013,64,8,0.00000,0.00000,0.00000
2022.02.03 19:45:00,1.36024,1.36027,1.36003,1.36012,99,8,0.00000,0.00000,0.00000
2022.02.03 19:44:00,1.36046,1.36051,1.36023,1.36024,44,8,0.00000,0.00000,0.00000
2022.02.03 19:43:00,1.36044,1.36054,1.36039,1.36046,51,8,0.00000,1.36046,0.00000
2022.02.03 19:42:00,1.36038,1.36049,1.36037,1.36043,54,8,0.00000,0.00000,0.00000
2022.02.03 19:41:00,1.36022,1.36038,1.36022,1.36038,62,8,0.00000,0.00000,0.00000
2022.02.03 19:40:00,1.36028,1.36028,1.36019,1.36023,47,8,0.00000,0.00000,0.00000
2022.02.03 19:39:00,1.36014,1.36027,1.36013,1.36027,72,8,0.00000,0.00000,0.00000
2022.02.03 19:38:00,1.35989,1.36018,1.35989,1.36014,95,8,0.00000,0.00000,0.00000
2022.02.03 19:37:00,1.35990,1.35994,1.35977,1.35989,81,8,0.00000,0.00000,0.00000
2022.02.03 19:36:00,1.36012,1.36012,1.35983,1.35987,94,8,0.00000,1.36012,1.35987
2022.02.03 19:35:00,1.35985,1.36015,1.35980,1.36011,94,8,0.00000,0.00000,0.00000
2022.02.03 19:34:00,1.35972,1.35989,1.35966,1.35986,91,8,0.00000,0.00000,0.00000
2022.02.03 19:33:00,1.35987,1.35987,1.35962,1.35972,91,8,0.00000,0.00000,1.35972
2022.02.03 19:32:00,1.35989,1.35993,1.35978,1.35987,65,8,0.00000,0.00000,0.00000
2022.02.03 19:31:00,1.36016,1.36016,1.35988,1.35990,53,8,0.00000,0.00000,0.00000
2022.02.03 19:30:00,1.35984,1.36017,1.35983,1.36016,65,8,0.00000,1.36016,0.00000
